,Name,Updated SMILES,Biološka uporabnost (%),nAtom,nHeavyAtom,nH,nO,nBonds,nBondsO,nBondsS,nBondsKS,C2SP3,NsOH,nHBAcc,MPC2,ATS0se,ATS1se,ATS1pe,ATS1are,ATSC0p,ETA_eta_L,ZMIC0,PEOE_VSA1,SlogP_VSA2,VSA_EState9,bpol,MW,nRot,FilterItLogS,bioavailability
10,Acetazolamide,s1c(nnc1S(=O)(=O)N)NC(=O)C,99.0,19,13,6,3,19,13,11,14,0,0,6,19,168.82223800000003,164.462552,137.7487,134.7577,8.872200052748527,2.6718174328136297,48.79139500161462,5.316788604006331,24.52234033028252,25.28611772486773,17.143242,221.988132052,2,-0.8836993393282089,99.0
11,Acetohydroxamic Acid,O=C(NO)C,55.0,10,5,5,2,9,4,8,8,0,1,2,4,85.57842,77.118912,64.5701,64.374,1.5026497701225,1.0628882674191436,17.828146997790387,0.0,11.114432754128797,19.166666666666664,5.314035,75.03202840000002,0,0.4388172498435315,55.0
12,Acetylcarnitine,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,10.0,31,14,17,4,30,13,28,28,2,0,4,18,245.68703200000007,236.414124,196.248,192.95,6.0909341999374815,3.459703167433294,49.36962356870144,19.1209583904072,50.21338017529077,41.133703703703695,23.674519,203.115758024,5,-2.037810874203785,10.0
13,Acetylcysteine,SCC(NC(=O)C)C(O)=O,7.5,19,10,9,3,18,9,16,16,1,1,3,11,157.16938900000005,146.504922,121.4985,119.272,6.818852541705789,2.88497012475163,35.0344173674081,10.423315998847038,28.777706848038807,30.15486111111111,13.794862999999998,163.030314148,3,-0.19589909687497106,7.5
14,Acetyldigitoxin,O1C(C)C(OC2OC(C)C(O)C(OC(=O)C)C2)C(O)CC1OC1C(OC(OC2CC3CCC4C(CCC5(C)C(CCC45O)C4=CC(OC4)=O)C3(CC2)C)CC1O)C,70.0,123,57,66,14,130,64,127,127,22,4,14,100,954.584836,1016.624976,844.181,826.8,27.0462191085686,20.89564922785794,208.5318484673688,58.32101320976322,124.4823969962518,130.91666666666663,81.83566200000014,806.4452567920018,8,-2.8408553973868567,70.0
15,Aciclovir,O=C1NC(=Nc2n(cnc12)COCCO)N,20.0,27,16,11,3,28,17,17,24,0,1,7,23,225.29056000000003,234.59546,199.0175,196.962,4.885207430274963,3.395541654684031,54.98627626350385,15.577057825802939,37.83932653449952,42.628379629629634,17.629277,225.086189212,4,-1.125608751260304,20.0
16,Acipimox,OC(=O)c1ncc([n+]([O-])c1)C,95.0,17,11,6,3,17,11,10,13,0,1,3,15,146.0123,142.042932,120.6376,119.145,3.3415062767078823,1.83388111189828,37.9564158756744,10.313780419617997,16.059811203739766,36.0,9.465241999999998,154.037842052,1,-0.3248311780696944,95.0
17,Acitretin,O(C)c1cc(C)c(C=CC(=CC=CC(=CC(O)=O)C)C)c(C)c1C,59.5,50,24,26,3,50,24,39,42,0,1,2,32,373.086048,378.35782400000005,312.95599999999996,305.2,11.967985685795515,5.800530803602183,84.83122915815031,9.843390348640755,18.18563022407009,55.83333333333332,28.687382,326.1881946920007,6,-4.018833217860715,59.5
18,Acrivastine,OC(=O)C=Cc1nc(ccc1)C(=CCN1CCCC1)c1ccc(cc1)C,18.0,50,26,24,2,52,28,37,43,2,1,3,37,374.241192,395.448928,329.45450000000005,321.3250000000001,11.78158115619552,6.292475549531377,86.56246181728856,5.106527394840706,40.59399015232796,57.50000000000002,27.794967999999994,348.18377800800073,6,-4.2348709870785095,18.0
19,Adefovir,P(O)(O)(=O)COCCn1c2ncnc(N)c2nc1,12.0,30,18,12,4,31,19,20,26,0,2,7,27,251.68596500000007,257.313264,216.1488,212.688,11.591024903712794,3.9156513778344304,60.68858090585572,24.82445328425854,42.26071074970569,39.56913063023904,27.042484,273.0626904940003,5,-0.5020429121425164,12.0
20,Adefovir Dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc12)OCOC(=O)C(C)(C)C,12.0,66,34,32,8,67,35,54,60,0,0,13,51,529.948301,535.554032,446.6288,438.288,19.53340341035927,8.840151361894987,113.70008018390939,24.511355986353692,57.99838273230411,63.45498094087651,55.786624000000074,501.1988496140008,11,-3.5618309015889067,12.0
21,Adinazolam,Clc1cc2c(-n3c(nnc3CN(C)C)CN=C2c2ccccc2)cc1,39.0,43,25,18,0,46,28,28,37,0,0,5,40,327.28596099999993,356.216858,299.8396,292.2499,10.324255127954652,5.053818619338092,83.60088281208427,4.899909730850478,39.47140196336899,43.37138011428852,24.267726,351.1250732560005,3,-5.536027418618747,39.0
22,Albendazole,S(CCC)c1cc2nc([nH]c2cc1)NC(OC)=O,5.0,33,18,15,2,34,19,23,29,1,0,4,25,257.315341,268.37688,224.312,219.50799999999998,10.059014653006967,4.541972672604338,58.938252153021686,9.720841474747257,28.92384826085715,39.869668970983454,22.392104999999997,265.08849772000025,4,-3.8945770313828016,5.0
23,Alcuronium,OCC=C1C2C=3C4N(C=C5C6CC7[N+](CC6=CCO)(CCC67C5N(C=3)c3c6cccc3)CC=C)c3c(C45C([N+](C1)(CC5)CC=C)C2)cccc3,0.0,100,50,50,2,110,60,92,98,8,2,4,98,735.21588,835.22928,696.5980000000002,679.35,23.776893249225004,15.066895631606073,169.58991109659917,28.97893596677161,95.82878218616379,92.7150054551927,58.140350000000076,666.3922796801812,6,-7.683782843944156,0.0
24,Alendronate,P(O)(O)(=O)C(P(O)(O)=O)(O)CCCN,0.8,27,14,13,7,26,13,24,24,2,5,4,21,233.816194,216.99672400000003,177.2781,173.743,17.157432611500663,4.1809577410269485,54.24744850940466,30.4138412830128,36.30815783183069,33.92685657596372,29.887691,249.01672501599998,5,2.048894016562746,0.8
25,Alfacalcidol,OC1CC(O)CC(=CC=C2C3CCC(C(CCCC(C)C)C)C3(CCC2)C)C1=C,71.0,73,29,44,2,75,31,72,72,12,2,2,45,525.90978,556.625612,456.8725,445.15,16.957885869744164,11.760983655562875,107.62369594893494,10.213054789681411,22.420987565178017,56.24999999999999,44.14110800000004,400.3341306480012,6,-5.188636508085961,71.0
26,Alfentanil,CCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O)CC)c3ccccc3)C1=O,1.0,62,30,32,3,64,32,51,58,3,0,8,44,474.60664799999984,499.31964800000003,417.3903,409.7747,12.969451411339355,8.40193316045977,101.1848437544988,14.536682415501005,69.4873394977136,64.48084740654501,41.274624000000024,416.25358888400086,9,-3.339085955872111,1.0
27,Alfuzosin,O1CCCC1C(=O)NCCCN(C)c1nc(N)c2cc(OC)c(OC)cc2n1,52.0,55,28,27,4,57,30,45,51,4,0,8,41,429.0833759999999,451.63084800000007,378.1605,371.51200000000006,11.518309527815347,6.968611393021619,93.80230843728359,30.16095467341914,62.94276500056456,64.0,37.152589000000006,389.2063043440007,8,-4.410624779751244,52.0
28,Aliskiren,O(CCCOC)c1cc(ccc1OC)CC(C(C)C)CC(N)C(O)CC(C(C)C)C(=O)NCC(C(=O)N)(C)C,2.5,92,39,53,6,92,39,84,87,6,1,7,53,693.009276,706.83538,583.6990000000002,571.9200000000002,19.590467413335677,12.442508875092006,134.89598622761824,36.10123981457155,63.04480948793346,91.08333333333334,59.543971000000106,551.3934364160015,19,-5.852233600962361,2.5
29,Alizapride,O(C)c1cc2[nH]nnc2cc1C(=O)NCC1N(CCC1)CC=C,84.0,44,23,21,2,46,25,34,40,3,0,5,34,339.44761199999994,361.719404,303.5617,298.0828,9.309571338592434,5.861556047762552,77.36475579666217,10.053651557806381,59.00374576062214,51.66666666666667,26.521346999999995,315.1695249120006,6,-3.816435876647559,84.0
30,Allopurinol,O=C1NC=Nc2[nH]ncc12,65.5,14,10,4,1,15,11,4,11,0,0,3,15,118.73469599999996,126.274372,108.6291,107.4829,2.4160455932828566,1.7300459278238596,34.615306676812175,4.9839785209472085,20.165320658496487,27.0,7.160827999999999,136.038510748,0,-1.7394295044080723,65.5
31,Almitrine,Fc1ccc(cc1)C(N1CCN(CC1)c1nc(nc(n1)NCC=C)NCC=C)c1ccc(F)cc1,63.0,64,35,29,0,67,38,47,56,1,0,7,51,494.30032399999993,521.843664,439.226,430.30800000000005,14.458053309777107,7.648038407014588,117.28955856330757,15.533486938863135,59.120383729167564,54.80577917272256,39.29900300000002,477.2452503680009,10,-7.1439298495040235,63.0
32,Almotriptan,S(=O)(=O)(N1CCCC1)Cc1cc2c([nH]cc2CCN(C)C)cc1,70.0,48,23,25,2,50,25,38,44,3,0,3,36,362.202561,385.238644,318.79959999999994,310.6498,13.632530753920314,6.244886429997917,76.51945945621941,9.883888251797686,56.336514410514965,27.169562183605965,35.72617500000001,335.1667480400007,6,-4.343767955831232,70.0
33,Alosetron,O=C1N(CCc2n(c3c(c12)cccc3)C)Cc1nc[nH]c1C,55.0,40,22,18,1,43,25,27,36,1,0,3,37,303.279384,332.58694,279.385,273.254,8.9265907476051,4.9252702430147615,73.21107808673194,14.450987899589038,31.88690255580033,44.51418493323256,24.055726,294.1480611960005,2,-4.282505281602454,55.0
34,Alprazolam,Clc1cc2c(-n3c(nnc3C)CN=C2c2ccccc2)cc1,86.5,35,22,13,0,38,25,20,29,0,0,4,36,268.410973,294.3165259999999,248.5336,241.7249,8.37503883790897,4.228568172855622,71.01909175252109,0.0,20.476148267164128,38.00303349220346,17.541690999999997,308.08287409600035,1,-5.433231285798682,86.5
35,Alprenolol,O(CC(O)CNC(C)C)c1ccccc1CC=C,8.0,41,18,23,2,41,18,34,37,3,1,3,22,304.53747999999996,312.89009599999997,258.4185,252.80400000000003,9.268963419402096,4.9622890657686485,62.8419064885811,15.160178952647087,30.403972982162465,39.5,25.379760999999995,249.172878976,8,-3.546433270932692,8.0
36,Alprostadil,OC1CC(=O)C(CCCCCCC(O)=O)C1C=CC(O)CCCCC,15.0,59,25,34,5,59,25,56,56,13,3,4,31,445.9966759999999,450.039836,370.524,362.35,12.929130038672032,9.351348999436805,91.13707122390748,15.319582184522115,39.280065194335506,63.16666666666667,35.84503800000001,354.24062418800094,13,-3.2203171901367638,15.0
37,Alvimopan,Oc1cc(ccc1)C1(CCN(CC1C)CC(Cc1ccccc1)C(=O)NCC(O)=O)C,6.0,63,31,32,4,65,33,51,57,2,2,4,46,477.3138839999999,498.594052,414.42199999999997,405.029,14.472825250701707,8.187474268648025,105.54808430475192,20.429753124538227,53.16847516148554,73.75000000000001,36.118624,424.2362075040008,8,-4.771049482747202,6.0
38,Amantadine,NC12CC3CC(C1)CC(C2)C3,88.0,28,11,17,0,30,13,30,30,6,0,1,21,199.82068400000009,222.579092,183.308,178.68300000000005,6.340410343098679,5.018499800504316,40.462728289637425,5.733667477162185,5.538925252383344,18.25,16.484519,151.136099544,0,-1.5689810339594554,88.0
39,Ambroxol,Brc1cc(Br)cc(CNC2CCC(O)CC2)c1N,77.0,36,18,18,1,37,19,31,34,6,1,3,26,273.43797,286.006072,237.8285,231.687,15.008545783196555,5.682547088888726,70.99902437559123,16.156983476009223,17.25233461173697,29.952701959469643,20.817726,375.97858739600053,3,-4.467241983344046,77.0
40,Amdinocillin_pivoxil,S1C2N(C(C(OCOC(=O)C(C)(C)C)=O)C1(C)C)C(=O)C2N=CN1CCCCCC1,0.0,63,30,33,5,65,32,61,61,6,0,7,48,486.16748499999983,504.63242,419.2455,410.1,16.635472875563647,9.981776521008658,100.2086707897112,19.27354536930105,76.07117717188525,69.26847272087846,46.20183100000005,439.2140921560009,5,-2.6445565182737822,0.0
41,Amezinium,O(C)c1[n+](ncc(N)c1)-c1ccccc1,58.0,27,15,12,1,28,16,16,22,0,0,3,21,207.523868,220.95096,185.7921,182.3829,5.892563398845185,2.5614884918891025,49.8783165465136,10.470530430962237,12.208479349578571,31.809166666666666,14.914483999999995,202.09748842409002,2,-2.0622260696605994,58.0
42,Amifostine,S(P(O)(O)=O)CCNCCCN,99.5,27,12,15,3,26,11,25,25,1,2,4,13,214.0070340000001,207.015127,168.89350000000005,165.1934,14.345170330845187,4.228951760948447,38.38948806658411,20.83727928667347,35.173946029989466,24.64462522045855,23.756104999999994,214.05409997,7,-0.5827382165476855,99.5
43,Amikacin,O1C(CN)C(O)C(O)C(O)C1OC1C(O)C(OC2OC(CO)C(O)C(N)C2O)C(NC(=O)C(O)CCN)CC1N,0.0,83,40,43,13,85,42,84,84,16,8,17,61,679.3657919999998,701.8075840000001,585.7794999999999,578.936,15.176332824967227,13.038881171213214,140.27184049831027,88.05112948658092,164.30499987576084,117.99999999999996,49.239901000000074,585.2857364360011,10,4.821580556308406,0.0
44,Aminocamptothecin,OC1(C2=C(CCC1=O)C(=O)N1C(=C2)c2nc3c(cc2C1)c(N)ccc3)CC,49.0,46,27,19,3,50,31,31,41,3,1,6,49,356.66170799999986,388.528324,326.587,319.0080000000001,10.479044439207328,6.3939806519719085,86.6410433762618,15.407294519794245,20.44085050994421,63.224755291005295,23.076933,361.1426414680007,1,-5.2395638986761615,49.0
45,Aminoglutethimide,O=C1NC(=O)CCC1(CC)c1ccc(N)cc1,97.5,33,17,16,2,34,18,26,29,3,0,3,26,252.628836,261.772408,218.3265,213.537,7.403583844088727,4.387398035510701,56.751463774293214,5.733667477162185,11.814359458703013,42.91666666666667,17.787311999999996,232.121177752,2,-3.4383120059710306,97.5
46,Aminolevulinic_acid,OC(=O)CCC(=O)CN,60.0,18,9,9,3,17,8,15,15,2,1,3,9,148.42553999999996,137.769096,114.682,113.133,3.3702202638204986,2.3029862046045824,31.86146172473677,10.84019487200289,23.403834035070076,31.833333333333336,10.194862999999998,131.058243148,4,-0.02188953949404926,60.0
47,Amisulpride,S(=O)(=O)(CC)c1cc(C(=O)NCC2N(CCC2)CC)c(OC)cc1N,48.0,52,25,27,4,53,26,44,47,3,0,6,37,402.34292099999993,414.262016,342.9729,335.092,14.147943861866825,6.865371028665212,82.89130488626974,15.787319034968565,57.76364763944092,41.733562926579935,38.056589000000024,369.17222734400076,7,-3.9396138083381897,48.0
48,Amitriptyline,N(CCC=C1c2c(CCc3c1cccc3)cccc2)(C)C,46.5,44,21,23,0,46,23,33,39,3,0,1,31,315.5366279999999,340.828028,282.336,274.525,10.76748959186516,5.255082694447884,74.16589840534715,4.899909730850478,25.540010102117435,38.33333333333333,24.783760999999995,277.1830497360006,3,-5.481745354161628,46.5
49,Amlodipine,Clc1ccccc1C1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)COCCN,71.0,53,28,25,5,54,29,44,47,0,0,7,39,418.00939699999986,425.738814,355.51649999999995,347.61199999999997,12.799645658383017,7.228911802510776,93.63918341708143,25.261044942568663,45.413810416632565,63.355334840768954,32.534175,408.1451995800006,8,-5.0127379501588205,71.0
50,Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,95.0,34,16,18,3,34,16,31,31,3,0,3,23,264.336448,263.48900000000003,218.9825,214.708,7.0458486396621165,5.054113370804261,54.290056229058244,0.0,17.845473971041084,44.08333333333334,21.801725999999995,226.131742436,4,-3.180054046202029,95.0
51,Amodiaquine,Clc1cc2nccc(Nc3cc(CN(CC)CC)c(O)cc3)c2cc1,75.0,47,25,22,1,49,27,32,41,0,1,4,37,354.6487769999998,376.803246,314.595,306.504,11.732328708998935,5.610790751322626,82.49772549979541,10.423315998847038,28.07992845846354,47.72532484559953,26.000553999999994,355.1451400040005,6,-6.381189014930505,75.0
52,Amosulalol,S(=O)(=O)(N)c1cc(ccc1C(O)CNCCOc1ccccc1OC)C,99.0,50,26,24,5,51,27,37,43,1,1,6,37,392.878125,404.193812,335.4086,327.7328,14.035660514915518,5.8704119977016225,87.19920572681252,19.897041906447136,40.33051669678524,47.053000964819276,34.20496800000001,380.1405928680006,9,-4.3544692015450845,99.0
53,Amoxapine,Clc1cc2c(Oc3c(N=C2N2CCNCC2)cccc3)cc1,36.0,38,22,16,1,41,25,28,34,0,0,4,35,291.7164449999999,319.156254,268.2415,261.30400000000003,9.451289732495995,5.018061865109363,70.88632022795395,14.953561288656855,36.914555140258045,38.90705871546148,21.717312,313.09818981200044,0,-4.996111110614167,36.0
54,Amoxicillin,S1C2N(C(C(O)=O)C1(C)C)C(=O)C2NC(=O)C(N)c1ccc(O)cc1,88.33333333333333,44,25,19,5,46,27,37,40,3,2,6,42,354.4064089999998,368.02656,308.30499999999995,302.1620000000001,12.415441390528974,6.594218416654947,82.68143439269815,26.163420601700413,55.10120619166897,68.8969825553168,25.834933,365.1045417080005,4,-1.019199681808022,88.33333333333331
55,Amphotericin_B,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,3.0,138,65,73,17,140,67,131,131,23,11,17,92,1082.0329319999996,1106.603972,917.8004999999997,900.883,29.76952093649641,21.065250919761368,235.69614776956158,80.85292063561016,165.58095367093318,174.58333333333331,81.34411100000007,923.4878498760023,3,3.00249167670312,3.0
56,Ampicillin,S1C2N(C(C(O)=O)C1(C)C)C(=O)C2NC(=O)C(N)c1ccccc1,53.5,43,24,19,4,45,26,36,39,3,1,5,40,341.05469299999993,355.63914,297.575,291.212,12.307192638584745,6.440847544671893,78.68619939522434,21.056893206859694,49.99467879682826,63.19921396027547,25.834933,349.1096270880005,4,-1.453952102905428,53.5
57,Ampiroxicam,S1(=O)(=O)N(C)C(C(=O)Nc2ncccc2)=C(OC(OC(OCC)=O)C)c2c1cccc2,0.0,52,31,21,7,54,33,37,43,0,0,8,47,424.7088329999999,435.80898,365.2861,357.2248,14.222452991782673,6.5826614352174495,103.26694554454193,19.52737746540648,49.71411753198796,60.62137096730464,38.08734700000002,447.1100210120005,6,-3.7775425860864895,0.0
58,Amrinone,O=C1NC=C(C=C1N)c1ccncc1,93.0,23,14,9,1,24,15,11,18,0,0,3,20,179.82796000000008,189.294484,159.7785,156.637,4.928583054911913,2.362432430503111,45.736746580878105,10.717645998109393,9.967957041894415,35.16666666666667,11.036863,187.074561908,1,-2.8109450564342824,93.0
59,Amsalog,S(=O)(=O)(Nc1cc(OC)c(Nc2c3c(nc4c2cccc4C)c(ccc3)C(=O)NC)cc1)C,34.0,57,33,24,4,60,36,35,47,0,0,6,53,445.17277699999994,470.86922400000003,393.6816,383.9078,15.631239000147504,6.39681431083833,106.0502382075563,15.370440161812713,39.722193942093774,60.46271616125057,36.186968000000014,464.1518262480007,6,-7.710057111129137,34.0
60,Anagrelide,Clc1c2CN3CC(=O)NC3=Nc2ccc1Cl,75.0,23,16,7,1,25,18,17,20,0,0,3,27,190.54228200000009,201.82242,171.52,166.37900000000005,6.092245948656001,3.3874930001252355,55.0433450310545,4.899909730850478,23.31140043485839,27.681757430853,12.330448999999998,254.99661720400002,0,-3.7431880819716032,75.0
61,Anastrozole,n1cn(nc1)Cc1cc(cc(c1)C(C#N)(C)C)C(C#N)(C)C,80.0,41,22,19,0,42,23,29,35,0,0,5,34,306.8477680000001,319.939452,267.6331,261.3999,9.037073974802002,5.106788084735363,76.4425179218668,0.0,14.764463264393427,50.27614890400604,23.050932999999997,293.1640456080005,4,-4.013149319073246,80.0
62,Anisotropine Methylbromide,O(C(=O)C(CCC)CCC)C1CC2[N+](C(C1)CC2)(C)C,17.5,52,20,32,2,53,21,52,52,11,0,2,30,380.0846879999999,398.515996,327.879,320.4500000000001,11.268990392603072,7.7789887648766305,71.23979470985664,9.219893811494673,42.73532815704508,37.85972316704459,36.986624000000006,282.24275568409075,6,-4.085053772257612,17.5
63,Antipyrine,O=C1N(N(C)C(=C1)C)c1ccccc1,99.0,26,14,12,1,27,15,15,22,0,0,3,21,197.32223200000004,208.594644,174.8641,171.1249,5.891711081178152,2.825700177777685,46.26217036158866,0.0,9.36360587029037,28.50694444444445,15.186483999999995,188.09496300400002,1,-1.876755057809144,99.0
64,Antrafenine,FC(F)(F)c1cc(N2CCN(CC2)CCOC(=O)c2ccccc2Nc2c3c(ncc2)cc(cc3)C(F)(F)F)ccc1,99.0,68,42,26,2,72,46,48,60,0,0,6,67,564.40552,573.526472,487.2355,477.504,16.515272424104527,9.18134255610366,133.3547428993998,14.953561288656855,55.18385753382533,41.933570914701406,40.495382000000035,588.1959953920008,7,-8.584878803032716,99.0
65,Apomorphine,Oc1c-2c(CC3N(CCc4c3c-2ccc4)C)ccc1O,10.0,37,20,17,2,40,23,28,34,3,2,3,35,279.307728,307.816044,257.131,250.925,8.810428519477295,4.729917263817758,65.97177059668805,10.213054789681411,28.705392909121656,43.5,18.764519,267.12592878400034,0,-3.604048940124362,10.0
66,Aprepitant,Fc1ccc(cc1)C1N(CCOC1OC(C)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)CC1=NC(=O)NN1,62.5,58,37,21,3,61,40,43,53,2,0,5,60,507.381304,501.25714800000003,428.4246,421.6579,13.736061859959873,8.648225669365582,120.1186373567446,9.473725907600098,39.522916968160466,25.101581162313337,36.048347000000014,534.1501880720007,6,-6.884023164088223,62.5
67,Aprindine,N(CCCN(CC)CC)(C1Cc2c(C1)cccc2)c1ccccc1,85.0,54,24,30,0,56,26,44,50,4,0,2,34,387.84854399999983,416.963624,344.86199999999997,336.05000000000007,12.773994931319995,6.750392668360359,86.26551762444504,9.799819461700956,37.120776183648736,42.83333333333334,33.51621,322.2408989600008,8,-5.600003023333168,85.0
68,Arbekacin,O1C(CO)C(O)C(N)C(O)C1OC1C(O)C(OC2OC(CCC2N)CN)C(N)CC1NC(=O)C(O)CCN,0.0,82,38,44,10,84,40,83,83,16,5,15,57,656.2307440000002,682.8561119999998,569.1074999999997,561.769,15.192378910579604,12.758982321618532,129.63529696236108,78.46521477922099,136.71535935714178,104.33333333333336,49.67310800000008,552.3118916080011,10,2.9527456211468426,0.0
69,Aripiprazole,Clc1c(N2CCN(CC2)CCCCOc2cc3NC(=O)CCc3cc2)cccc1Cl,87.0,57,30,27,2,60,33,47,53,4,0,4,45,436.28998599999983,463.499744,387.046,376.554,14.894626331573507,8.009125153056969,99.86981618326807,14.953561288656855,50.13775345427777,51.386239991107686,34.700589,447.1480324640007,7,-7.026848497187906,87.0
70,Artemether,O1C2OC3(OOC24C(CCC(C4CC3)C)C(C)C1OC)C,58.0,47,21,26,5,50,24,50,50,5,0,5,39,362.08689999999984,391.78896,325.4071,319.0,10.240913697181997,8.157828640738746,76.8464987618215,14.210588861400149,31.07801296350225,41.99999999999999,33.027382,298.1780239320008,1,-2.035714815554326,58.0
71,Astemizole,COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1,2.0,65,34,31,1,69,38,47,59,4,0,5,52,489.5650919999998,529.079716,442.7635,432.504,15.254652131643784,8.06957878156755,112.22798309301704,19.520660936448213,47.23689548775226,54.91299623352838,39.078417000000016,458.2481898320009,8,-7.336459964389093,2.0
72,Atazanavir,O(C(=O)NC(C(C)(C)C)C(=O)NC(Cc1ccccc1)C(O)CN(NC(=O)C(NC(OC)=O)C(C)(C)C)Cc1ccc(cc1)-c1ncccc1)C,64.0,103,51,52,7,105,53,83,92,5,1,9,74,790.5715640000003,815.396332,679.5315999999998,665.8159,22.64193116050048,12.884359548192215,171.69240464628902,30.530619114459792,84.0940984039821,123.66666666666664,63.100764000000105,704.3897480040013,14,-7.487994082744424,64.0
73,Atenolol,O(CC(O)CNC(C)C)c1ccc(cc1)CC(=O)N,50.5,41,19,22,3,41,19,34,37,3,1,4,24,313.831852,319.358988,264.986,259.987,8.797962407680046,5.007521369647532,64.66731551989535,20.893846429809273,36.31115271151397,47.16666666666666,24.674554,266.1630425640003,8,-2.68651635250641,50.5
